ID,ADDRESS,CITY,STATE,ZIP CODE,WARD,PRECINCT,POLICE DISTRICT,LATITUDE,LONGITUDE
2003345-20101116,2306 W CHICAGO AVE 1ST 1,CHICAGO,IL,60622,32,6,12,41.89588893,-87.68475004
25883-20110316,211 E CHICAGO AVE  ,CHICAGO,IL,60611,42,38,18,41.89665314,-87.62223966
2003639-20101116,1419 W CHICAGO AVE GROUND ,CHICAGO,IL,60642,27,35,12,41.89602643,-87.66319105
29472-20110316,5115 W 63RD ST  1,CHICAGO,IL,60638,13,27,8,41.77816516,-87.75026446
2134198-20120105,2113 S STATE ST 1ST ,CHICAGO,IL,60616,3,45,1,41.85382723,-87.62695799
2003646-20101116,939 W NORTH AVE 1 ,CHICAGO,IL,60642,32,46,18,41.9107384,-87.65262887
1548438-20110316,455 N CITYFRONT PLAZA DR 9 ,CHICAGO,IL,60611,42,53,18,41.89000134,-87.62143869
68621-20110316,62 E CHICAGO AVE 1ST ,CHICAGO,IL,60611,42,32,18,41.89682073,-87.62576264
2004556-20101116,2036 W DIVISION ST 1 ,CHICAGO,IL,60622,1,17,14,41.90327356,-87.67874776
1893127-20100916,35 E WACKER DR 7TH 700,CHICAGO,IL,60601,42,9,1,41.88683151,-87.62655608
2008903-20101116,1644 N HONORE ST 3RD 302,CHICAGO,IL,60622,32,35,14,41.91187509,-87.67398406
1818094-20110316,233 E ERIE ST  2406,CHICAGO,IL,60611,42,41,18,41.89406316,-87.62139584
2013197-20101116,1644 N HONORE ST 1 105,CHICAGO,IL,60622,32,35,14,41.91187509,-87.67398406
1357006-20110316,50 E OAK ST  ,CHICAGO,IL,60611,42,24,18,41.90088647,-87.62650557
1042736-20110316,67 E OAK ST  ,CHICAGO,IL,60611,42,42,18,41.90067795,-87.6258661
1922931-20100816,3150 W CERMAK RD 1ST ,CHICAGO,IL,60623,24,53,10,41.85188092,-87.70483066
63152-20100916,1 N FRANKLIN ST  350,CHICAGO,IL,60606,42,9,1,41.88196747,-87.63516544
2013933-20101116,1566 N DAMEN AVE 1 1,CHICAGO,IL,60622,1,8,14,41.91018019,-87.67759242
25298-20110316,111 E CHESTNUT ST 10TH 1004,CHICAGO,IL,60611,42,48,18,41.89826162,-87.62516469
2013992-20101116,1052 N MILWAUKEE AVE 1ST ,CHICAGO,IL,60642,27,56,12,41.90092228,-87.66291327
1963450-20110316,445 E ILLINOIS ST 3 ,CHICAGO,IL,60611,42,31,18,41.89097223,-87.61599689
1740232-20110316,56 E OAK ST 2 ,CHICAGO,IL,60611,42,24,18,41.90089029,-87.62629359
2054916-20100901,5054 W ARMITAGE AVE 1 ,CHICAGO,IL,60639,31,12,25,41.9169551,-87.75314622
2014208-20101116,1318 N MILWAUKEE AVE 1ST FLOOR ,CHICAGO,IL,60622,1,5,14,41.90558048,-87.67018487
1305036-20110316,40 E OAK ST  ,CHICAGO,IL,60611,42,24,18,41.90088009,-87.62685889
2014296-20101116,700 N GREEN ST 4TH 401,CHICAGO,IL,60642,27,54,12,41.89510472,-87.64904418
1092932-20110316,48 E OAK ST  ,CHICAGO,IL,60611,42,24,18,41.90088519,-87.62657624
2032132-20110316,900 N MICHIGAN AVE 5 519,CHICAGO,IL,60611,42,61,18,41.8992486,-87.62427498
2016858-20101116,437 N PAULINA ST 1 ,CHICAGO,IL,60622,27,18,12,41.88979965,-87.66940048
1169427-20110316,34 E OAK ST  300,CHICAGO,IL,60611,42,24,18,41.90087608,-87.62707112
28056-20110316,142 E ONTARIO ST 1ST ,CHICAGO,IL,60611,42,53,18,41.89345042,-87.62385391
2017600-20101116,629 N ASHLAND AVE 1 1A,CHICAGO,IL,60622,26,7,12,41.89331738,-87.66706406
2017982-20101116,2111 W DIVISION ST 1ST ,CHICAGO,IL,60622,32,12,12,41.90302881,-87.68019724
2054917-20100831,5622 S PULASKI RD 1 1,CHICAGO,IL,60629,13,15,8,41.79059868,-87.72323432
2020782-20101116,1640 W HUBBARD ST 1ST 100,CHICAGO,IL,60622,26,7,12,41.8899706,-87.66879885
2020838-20101116,1324 W GRAND AVE 1 ,CHICAGO,IL,60642,27,41,12,41.89116034,-87.66004806
2054918-20100901,410 S MICHIGAN AVE 3RD 308,CHICAGO,IL,60605,2,49,1,41.87670765,-87.62442948
2021566-20101116,833 W CHICAGO AVE 2 201,CHICAGO,IL,60642,27,54,12,41.89626551,-87.64896193
2054920-20100831,1501 W 51ST ST 1ST ,CHICAGO,IL,60609,16,12,9,41.80123959,-87.66240488
1592633-20110316,3 E HURON ST 2ND ,CHICAGO,IL,60611,42,56,18,41.89476857,-87.62799659
2054925-20100908,3224 W ROOSEVELT RD 1 1,CHICAGO,IL,60624,24,43,11,41.86650458,-87.70666837
2022303-20101116,935 W CHESTNUT ST 3 301,CHICAGO,IL,60642,27,50,12,41.89833529,-87.65140012
